dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0008-001-R0004,IL-MTFN-001-G-F-0008-001,Goldschmidt Family Photos 1902-1927,"תמונות משפחתיות, משפחת גולדשמידט מהשנים 1902-1927.","Familienfotos, Familie Goldschmidt aus den Jahren 1902-1927.","Family photos, the Goldschmidt family from the years 1902-1927.",Unspecified,תצלום|Photograph,photography,original,Goldschmidt,1902,1927,,
IL-MTFN-001-G-F-0008-001-R0006,IL-MTFN-001-G-F-0008-001,Photos of Loser Family Employees,תמונות של העובדים השכירים של משפחת לוזר.,Fotos der Angestellten der Familie Loser.,Photos of the employees of the Loser family.,Unspecified,תצלום|Photograph,photography,original,משפחת לוזר,,,,
IL-MTFN-001-G-F-0008-001-R0008,IL-MTFN-001-G-F-0008-001,Photograph of German Article and Tombstone,צילום מאמר בגרמנית על שבועיים של אירועים יהודיים בהילדסהיים + צילום מצבת הקבר של אלה לוזר.,Fotografie eines Artikels auf Deutsch über zwei Wochen jüdischer Veranstaltungen in Hildesheim + Fotografie des Grabsteins von Ella Loser.,Photograph of a German article about two weeks of Jewish events in Hildesheim + Photograph of the tombstone of Ella Loser.,German,תצלום|Photograph,photography,copy,,,,,
IL-MTFN-001-G-F-0008-001-R0010,IL-MTFN-001-G-F-0008-001,"Original Page of Evening Newspaper from Munich, 1915",עמוד אוריגינלי של עיתון ערב ביצא במינכן משנת 1915.,"Originalseite einer Abendzeitung, die 1915 in München erschien.",Original page of an evening newspaper published in Munich in 1915.,German,עיתון|Newspaper,print,original,,1915,1915,,
IL-MTFN-001-G-F-0008-001-R0014,IL-MTFN-001-G-F-0008-001,Photos of Jewish Sites in Hildesheim,"תמונות של בית הקברות היהודי בהילדסהיים, בית הספר היהודי לשעבר, האנדרטה לזכר בית הכנסת.","Fotos des jüdischen Friedhofs in Hildesheim, der ehemaligen jüdischen Schule, das Denkmal zur Erinnerung an die Synagoge.","Photos of the Jewish cemetery in Hildesheim, the former Jewish school, the monument in memory of the synagogue.",Unspecified,תצלום|Photograph,photography,original,,,,,
IL-MTFN-001-G-F-0008-001-R0016,IL-MTFN-001-G-F-0008-001,"Cut Paper Image by Felix Weil, 1921",תמונת נייר גזור מאת פליקס וייל; Felix Weil מ-1921.,Ausgeschnittenes Papierbild von Felix Weil; Felix Weil aus 1921.,Cut paper image by Felix Weil; Felix Weil from 1921.,Unspecified|לא צוין,אלמנט גרפי|Graphic Element,other,original,Felix Weil,1921,,,
IL-MTFN-001-G-F-0008-001-R0017,IL-MTFN-001-G-F-0008-001,Photographs of Paintings by Walter Looser,"תצלומי ציוריו, של ולטר לוזר.",Fotografien der Gemälde von Walter Looser.,Photographs of the paintings by Walter Looser.,Unspecified,תצלום|Photograph,photography,original,Walter Looser,,,,
IL-MTFN-001-G-F-0008-002-R0002,IL-MTFN-001-G-F-0008-002,Photographs of the Luzer Battalion (1914-1916),תצלומים מ-1914-1916 של הגדוד של לוזר;,Fotografien von 1914-1916 des Luzer Bataillons;,Photographs from 1914-1916 of the Luzer Battalion;,Unspecified,תצלום|Photograph,photography,original,,1914,,,
IL-MTFN-001-G-F-0008-002-R0003,IL-MTFN-001-G-F-0008-002,Woodcuts by Prisoners in Barcelonnette Camp,"חיתוכי עץ שנעשו ע""י שבויים במחנה ברסלונט Barcelonnette, צרפת;","Holzschnitte, die von Gefangenen im Lager Barcelonnette, Frankreich, gemacht wurden.","Woodcuts made by prisoners in the Barcelonnette camp, France.",Unspecified,לא מזוהה|Unrecognized,other,original,,,,,
IL-MTFN-001-G-F-0008-003-R0002,IL-MTFN-001-G-F-0008-003,Woodcuts by R. Blummenschein,"חיתוכי עץ בנושאי נוף שיצר ר. בלומנשיין R. Blummenschein. סה""כ 4 יצירות, 3 מתוכן צבעוניות.","Holzschnitte zu Landschaftsthemen von R. Blummenschein. Insgesamt 4 Werke, davon 3 in Farbe.","Woodcuts on landscape themes created by R. Blummenschein. A total of 4 works, 3 of which are in color.",Unspecified,לא מזוהה,drawing,original,R. Blummenschein,,,,
IL-MTFN-001-G-F-0009-003-R0005,IL-MTFN-001-G-F-0009-003,Postcard from Rena to Hella from Detention Camp in India,"גלויה מרנה להלה ממחנה המעצר בהודו Postkarte für Kriegsgefangenen ושתי תמונות של מחנה המעצר האנגלי בהודו שמו: Parol-Camp Ahmednagar, British India; תמונה מצוירת וצבועה בצבעי מים של מגורי העצירים במחנה הנ""ל","Postkarte von Rena an Hella aus dem Internierungslager in Indien Postkarte für Kriegsgefangene und zwei Bilder des englischen Internierungslagers in Indien namens: Parol-Camp Ahmednagar, Britisch-Indien; Ein gezeichnetes und mit Wasserfarben bemaltes Bild der Unterkünfte der Gefangenen im genannten Lager","Postcard from Rena to Hella from the detention camp in India Postcard for prisoners of war and two pictures of the English detention camp in India named: Parol-Camp Ahmednagar, British India; A drawn and watercolor-painted picture of the detainees' quarters in the aforementioned camp",Hebrew|German,גלויה|Postcard,drawing,original,,,,,
IL-MTFN-001-G-F-0009-005-R0005,IL-MTFN-001-G-F-0009-005,Photo Album of Ohe Weiss (1934-1937),"אלבום תמונות של אוה וייס מהשנים 1934-1937, תמונות מגרמניה ומחיפה של פעילות בתנועות-נוער (תנועת הצופים היהודים בגרמניה), ספורט ומשפחה","Fotoalbum von Ohe Weiss aus den Jahren 1934-1937, Fotos aus Deutschland und Haifa von Aktivitäten in Jugendbewegungen (Jüdische Pfadfinderbewegung in Deutschland), Sport und Familie","Photo album of Ohe Weiss from the years 1934-1937, photos from Germany and Haifa of activities in youth movements (Jewish Scouts Movement in Germany), sports and family",Unspecified,תצלום|Photograph,photography,original,Ohe Weiss,1934-1937,,,
IL-MTFN-001-G-F-0013-001-R0007,IL-MTFN-001-G-F-0013-001,Picture of Flora as a Child,תמונה של פלורה כילדה (גיל 6 בערך).,Ein Bild von Flora als Kind (ungefähr 6 Jahre alt).,A picture of Flora as a child (about 6 years old).,Irrelevant,תצלום|Photograph,photography,original,Flora,,,,
IL-MTFN-001-G-F-0013-001-R0008,IL-MTFN-001-G-F-0013-001,Picture of Flora as a Young Woman,תמונה של פלורה כאישה צעירה (ללא תאריך).,Bild von Flora als junge Frau (ohne Datum).,Picture of Flora as a young woman (no date).,Irrelevant,תצלום|Photograph,photography,original,Flora,,,,
IL-MTFN-001-G-F-0013-001-R0009,IL-MTFN-001-G-F-0013-001,Picture of Flora with Personal Details,"תמונה של פלורה (מאחורי התמונה פרטים אישיים של פלורה, נכתבו ע""י בן/בת משפחה).","Bild von Flora (auf der Rückseite des Bildes persönliche Details von Flora, geschrieben von einem Familienmitglied).","Picture of Flora (on the back of the picture personal details of Flora, written by a family member).",Unspecified,תצלום|Photograph,photography,original,Flora,,,,
IL-MTFN-001-G-F-0013-001-R0013,IL-MTFN-001-G-F-0013-001,Postcard with Young Woman Holding a Flower,גלויה עליה מצוירת אישה צעירה בשמלה מפוארת מחזיקה פרח.,"Eine Postkarte mit einer jungen Frau in einem prächtigen Kleid, die eine Blume hält.",A postcard with a young woman in a fancy dress holding a flower.,Unspecified,גלויה|Postcard,drawing,original,,,,,
IL-MTFN-001-G-F-0015-005-R0018,IL-MTFN-001-G-F-0015-005,Unidentified Photos,מספר תמונות לא מזוהות.,Mehrere nicht identifizierte Fotos.,Several unidentified photos.,Unspecified,תצלום|Photograph,photography,other,,,,,
IL-MTFN-001-G-F-0015-008-R0006,IL-MTFN-001-G-F-0015-008,Notebook with Many Pictures,במחברת תמונות רבות.,In einem Notizbuch sind viele Bilder.,"In a notebook, there are many pictures.",Unspecified,פנקס|Notepad,,other,,,,,
IL-MTFN-001-G-F-0015-014-R0001,IL-MTFN-001-G-F-0015-014,"Photo Album by Dr. Max Kramer, Italy 1907","התיק כולל אלבום תצלומים שצילם ד""ר מקס קרמר באיטליה בשנת 1907. מרביתם תצלומי נופים ואתרי תיירות.","Die Akte enthält ein Fotoalbum, das Dr. Max Kramer 1907 in Italien aufgenommen hat. Die meisten sind Landschafts- und Touristenattraktionen.",The file includes a photo album taken by Dr. Max Kramer in Italy in 1907. Most are landscapes and tourist sites.,Other,תצלום|Photograph,photography,original,"ד""ר מקס קרמר",1907,,,
IL-MTFN-001-G-F-0015-018-R0004,IL-MTFN-001-G-F-0015-018,Cromwell Portrait Photograph,"קרומוול, צילום של ציור דיוקן.","Cromwell, Fotografie eines Porträtgemäldes.","Cromwell, photograph of a portrait painting.",Unspecified,תצלום|Photograph,photography,original,,,,,
IL-MTFN-001-G-F-0015-018-R0008,IL-MTFN-001-G-F-0015-018,Unidentified Portrait,דיוקן לא מזוהה.,Unbekanntes Porträt.,Unidentified portrait.,Unspecified,ציור|Painting,drawing,original,,,,,
IL-MTFN-001-G-F-0015-018-R0009,IL-MTFN-001-G-F-0015-018,"Unidentified Portrait Photograph, 1907","תצלום, ציור דיוקן, לא מזוהה, 1907.","Fotografie, Porträtzeichnung, nicht identifiziert, 1907.","Photograph, portrait drawing, unidentified, 1907.",Unspecified,תצלום|Photograph,photography,other,,1907,,,
IL-MTFN-001-G-F-0016-001-R0002,IL-MTFN-001-G-F-0016-001,Photos by Elisheva Lernau during Nazi curfew,שתי תמונות שצלמה אלישבע לרנאו ב-1.4.1933 ביום בו התילו הנאצים עוצר על מקום מגורי המשפחה העיירה Zweibrücken. במכתב מספרת המצלמת שאת התמונות צילמה מחלון דירתה.,"Zwei Fotos, die Elisheva Lernau am 1.4.1933 an dem Tag aufgenommen hat, an dem die Nazis eine Ausgangssperre über den Wohnort der Familie, die Stadt Zweibrücken, verhängten. In einem Brief erzählt die Fotografin, dass sie die Fotos aus dem Fenster ihrer Wohnung gemacht hat.","Two photos taken by Elisheva Lernau on 1.4.1933, the day the Nazis imposed a curfew on the family's place of residence, the town of Zweibrücken. In a letter, the photographer mentions that she took the photos from the window of her apartment.",Unspecified,תצלום|Photograph,photography,original,אלישבע לרנאו,1933-04-01,,,
IL-MTFN-001-G-F-0017-002-R0003,IL-MTFN-001-G-F-0017-002,Postcard Images from Various Cities,"תמונות הגלויות: בריסל Brussel 1937, בזל Basel 1959, ברוגה Brugge, דבוז Davos, לונדון 1959 London, ועוד.","Postkartenbilder: Brüssel 1937, Basel 1959, Brügge, Davos, London 1959, und mehr.","Postcard images: Brussels 1937, Basel 1959, Bruges, Davos, London 1959, and more.",Unspecified,גלויה|Postcard,photography,original,,,,,
IL-MTFN-001-G-F-0017-002-R0005,IL-MTFN-001-G-F-0017-002,Postcard Images Collection,"תמונות הגלויות: תל;אביב 1966, ולס 1942 Wells, ליכטנשטיין Lichtenstein, ניצה 1954 Nice, טירול; 1954 Tirol, רומא 1954 Roma, טבריה 1971, פולנגן 1929 Polangen, אלכסנדריה 1939 Alexandria, ניו יורק 1954 New York, ועוד.","Postkartenbilder: Tel Aviv 1966, Wells 1942, Lichtenstein, Nizza 1954, Tirol 1954, Rom 1954, Tiberias 1971, Polangen 1929, Alexandria 1939, New York 1954 und mehr.","Postcard images: Tel Aviv 1966, Wells 1942, Lichtenstein, Nice 1954, Tirol 1954, Rome 1954, Tiberias 1971, Polangen 1929, Alexandria 1939, New York 1954, and more.",Unspecified,גלויה|Postcard,,other,,,,,
IL-MTFN-001-G-F-0020-001-R0007,IL-MTFN-001-G-F-0020-001,Rilf Family Tree Photograph,"צילום אילן יוחסין של משפחת רילף. (הופקד ע""י נורית קונפינו 1999);",Fotografie eines Stammbaums der Familie Rilf. (Hinterlegt von Nurit Konfino 1999),Photograph of the Rilf family tree. (Deposited by Nurit Konfino 1999),Unspecified,תצלום|Photograph,photography,copy,Rilf,,,,
IL-MTFN-001-G-F-0022-001-R0001,IL-MTFN-001-G-F-0022-001,Family Portraits and Postcards,"תמונות וגלויות עם דיוקנות משפחתיים בין היתר: אירמה פרנק Irma Frank דודתה של התורמת, במדי אחות הצלב האדום, מקס פרנק Max Frank סבה של התורמת, סבתה של התורמת יוהנה פרנק Johanna Frank וחיילים במלח""ע I.","Fotos und Postkarten mit Familienporträts unter anderem: Irma Frank, die Tante der Spenderin, in der Uniform einer Rotkreuzschwester, Max Frank, der Großvater der Spenderin, die Großmutter der Spenderin Johanna Frank und Soldaten im Ersten Weltkrieg.","Photos and postcards with family portraits, among others: Irma Frank, the donor's aunt, in a Red Cross nurse's uniform, Max Frank, the donor's grandfather, the donor's grandmother Johanna Frank, and soldiers in World War I.",Unspecified,תצלום|Photograph|גלויה|Postcard,photography,original,,,,,
IL-MTFN-001-G-F-0022-008-R0007,IL-MTFN-001-G-F-0022-008,Plan for Josef Weil's House in Homberg,"צילום, תכנית לבית של יוסף וייל מהעיר הומברג Homberg, ללא תאריך.","Fotografie, Plan für das Haus von Josef Weil aus der Stadt Homberg, ohne Datum.","Photograph, plan for the house of Josef Weil from the city of Homberg, no date.",Unspecified,תצלום|Photograph,photography,copy,Josef Weil,,,,
IL-MTFN-001-G-F-0023-001-R0002,IL-MTFN-001-G-F-0023-001,Portrait Pictures,תמונות דיוקן,Porträtbilder,Portrait pictures,Unspecified,תצלום|Photograph,photography,original,,,,,
IL-MTFN-001-G-F-0022-005-R0011,IL-MTFN-001-G-F-0022-005,Family Photo Album of Dr. Weil,"אלבום כיס קטן עם תמונות משפחתיות של משפ. ד""ר וייל ואחרים. שנות ה-30 למאה ה-20.",Kleines Taschenalbum mit Familienfotos der Familie Dr. Weil und anderen. 1930er Jahre des 20. Jahrhunderts.,Small pocket album with family photos of the Dr. Weil family and others. 1930s of the 20th century.,Unspecified,תצלום|Photograph,photography,original,Dr. Weil,1930,,,
IL-MTFN-001-G-F-0025-001-R0001,IL-MTFN-001-G-F-0025-001,Photograph of a Family Tree,צילום אילן יוחסין;,Fotografie eines Stammbaums,Photograph of a family tree,Unspecified,תצלום|Photograph,photography,copy,,,,,
IL-MTFN-001-G-F-0025-001-R0002,IL-MTFN-001-G-F-0025-001,Scanned Images of G. Michelson's Painting,8 תמונות סרוקות מציורו של ג. מיכלסון;,8 gescannte Bilder von einem Gemälde von G. Michelson;,8 scanned images from a painting by G. Michelson;,Unspecified,תצלום|Photograph,drawing,copy,G. Michelson,,,,
IL-MTFN-001-G-F-0029-001-R0003,IL-MTFN-001-G-F-0029-001,Photographs of Memorial Articles,"צילומים של מאמרים שנכתבו לזכרו, בגרמנית;","Fotografien von Artikeln, die zu seinem Gedenken geschrieben wurden, auf Deutsch;","Photographs of articles written in his memory, in German;",German,תצלום|Photograph,photography,copy,,,,,
IL-MTFN-001-G-F-0029-001-R0004,IL-MTFN-001-G-F-0029-001,Portrait Picture,תמונת דיוקן,Porträtbild,Portrait picture,Unspecified,תצלום|Photograph,photography,original,,,,,
IL-MTFN-001-G-F-0034-001-R0001,IL-MTFN-001-G-F-0034-001,Portrait Photos of Siegfried Uphäuser,תמונות דיוקן של זיגפריד אופהויזר,Porträtfotos von Siegfried Uphäuser,Portrait photos of Siegfried Uphäuser,Unspecified,תצלום|Photograph,photography,original,זיגפריד אופהויזר,,,,
IL-MTFN-001-G-F-0035-001-R0001,IL-MTFN-001-G-F-0035-001,"Graphic Work with Compass Rose for Germany Map, 1933","יצירה גרפית, שבתחתיתה נירשם בגרמנית: שושנת הרוחות עבור מפת גרמניה. היצירה ניתנה במתנה (לא ידוע למי) לרגל השנה החדשה, שנת 1933 בליווי ברכות לבביות. הכיתוב המלווה את היצירה הגרפית הוא בגרמנית.","Grafisches Werk, am unteren Rand auf Deutsch geschrieben: Windrose für die Karte von Deutschland. Das Werk wurde als Geschenk (unbekannt an wen) zum Neujahr 1933 mit herzlichen Grüßen gegeben. Der begleitende Text des grafischen Werkes ist auf Deutsch.","Graphic work, inscribed at the bottom in German: Compass rose for the map of Germany. The work was given as a gift (unknown to whom) for the New Year 1933 with heartfelt greetings. The accompanying text of the graphic work is in German.",German,אלמנט גרפי|Graphic Element,drawing,original,,1933,,,
IL-MTFN-001-G-F-0041-001-R0002,IL-MTFN-001-G-F-0041-001,Portrait Photos of Bernhard Blumenthal,תמונות דיוקן של ברנהרד בלומנטל Bernhard Blumenthal.,Porträtfotos von Bernhard Blumenthal,Portrait photos of Bernhard Blumenthal,Unspecified,תצלום|Photograph,photography,original,Bernhard Blumenthal,,,,
IL-MTFN-001-G-F-0041-001-R0003,IL-MTFN-001-G-F-0041-001,Gravestone Picture in Germany,תמונת מצבה קברו בגרמניה.,Bild eines Grabsteins in Deutschland.,Picture of a gravestone in Germany.,Irrelevant,תצלום|Photograph,photography,original,,,,,
IL-MTFN-001-G-F-0042-001-R0002,IL-MTFN-001-G-F-0042-001,Portrait of Dr. Fritz Schiff,"תמונת דיוקן של ד""ר פריץ שיף;",Porträtfoto von Dr. Fritz Schiff,Portrait photograph of Dr. Fritz Schiff,Unspecified,תצלום|Photograph,photography,original,Dr. Fritz Schiff,,,,
IL-MTFN-001-G-F-0047-002-R0005,IL-MTFN-001-G-F-0047-002,"Photographs of a postcard and letter from Arnold Zweig, 1926","תצלומים, של גלויה ומכתב בגרמנית אל לאוני & ד""ר לנדסברג מאת ארנולד צוייג Arnold Zweig מ-1926.","Fotografien, von einer Postkarte und einem Brief auf Deutsch an Leoni & Dr. Landsberg von Arnold Zweig aus dem Jahr 1926.","Photographs, of a postcard and a letter in German to Leoni & Dr. Landsberg from Arnold Zweig from 1926.",German|גרמנית,תצלום|Photograph|גלויה|Postcard|מכתב|Letter,photography,original,Arnold Zweig,1926,,,
IL-MTFN-001-G-F-0047-003-R0001,IL-MTFN-001-G-F-0047-003,Photos of Dr. Chaim Weizmann,"שלש תמונות (בתוך מעטפה) ד""ר חיים ויצמן עם ד""ר אלפרד לנדסברג, ד""ר חיים ויצמן עם הבנות לבית לנדסברג, ד""ר חיים ויצמן בתמונה קבוצתית.","Drei Fotos (in einem Umschlag) Dr. Chaim Weizmann mit Dr. Alfred Landsberg, Dr. Chaim Weizmann mit den Töchtern der Familie Landsberg, Dr. Chaim Weizmann in einem Gruppenfoto.","Three photos (inside an envelope) Dr. Chaim Weizmann with Dr. Alfred Landsberg, Dr. Chaim Weizmann with the daughters of the Landsberg family, Dr. Chaim Weizmann in a group photo.",Unspecified,תצלום|Photograph|מעטפה|Envelope,photography,original,Chaim Weizmann,,,,
IL-MTFN-001-G-F-0047-003-R0002,IL-MTFN-001-G-F-0047-003,"Scanned Image of Alfred Landsberg, 1951",תמונה סרוקה של אלפרד לנדסברג מ-1951.,Gescanntes Bild von Alfred Landsberg aus dem Jahr 1951.,Scanned image of Alfred Landsberg from 1951.,Unspecified,תצלום|Photograph,photography,original,Alfred Landsberg,1951,,,
IL-MTFN-001-G-F-0047-003-R0013,IL-MTFN-001-G-F-0047-003,1931 Group Photo in Palestine,"1931 תמונה קבוצתית בפלשתינה שחור/לבן, גזורה מעיתון כל שהוא, בה ניתן לראות חלק ממנהיגי הישוב, החל בד""ר חיים וייצמן. לתמונה יש כתובית באנגלית.","1931 Gruppenfoto in Palästina schwarz/weiß, aus irgendeiner Zeitung ausgeschnitten, auf dem einige der Führer der Gemeinde zu sehen sind, beginnend mit Dr. Chaim Weizmann. Das Foto hat eine englische Beschriftung.","1931 group photo in Palestine black/white, cut from some newspaper, showing some of the leaders of the community, starting with Dr. Chaim Weizmann. The photo has a caption in English.",Hebrew|English,תצלום|Photograph,photography,copy,Chaim Weizmann,1931,,,
IL-MTFN-001-G-F-0047-004-R0015,IL-MTFN-001-G-F-0047-004,1925 Photo of Jacob Hahn and Sister,1925 תמונה של יעקב האן Jacob Hahn ואחותו שרה ברלינר Sara Berliner לבית האן.,1925 Foto von Jacob Hahn und seiner Schwester Sara Berliner geborene Hahn.,1925 picture of Jacob Hahn and his sister Sara Berliner née Hahn.,Unspecified,תצלום|Photograph,photography,original,Jacob Hahn|Sara Berliner,1925,,,
IL-MTFN-001-G-F-0047-004-R0016,IL-MTFN-001-G-F-0047-004,Portrait Photos of Edgar Heilbrunner,"3 תמונות דיוקן של אדגר היילברונר Edgar Heilbrunner, כימאי.","3 Porträtfotos von Edgar Heilbrunner, Chemiker.","3 portrait photos of Edgar Heilbrunner, chemist.",Unspecified,תצלום|Photograph,photography,original,Edgar Heilbrunner,,,,
IL-MTFN-001-G-F-0047-004-R0017,IL-MTFN-001-G-F-0047-004,Group Photo of 3 Children,"תמונה קבוצתית של 3 ילדים, 2 בנים ובת, לא מזוהים. על גב התמונה נרשם Winter 1935-36.","Gruppenfoto von 3 Kindern, 2 Jungen und ein Mädchen, nicht identifiziert. Auf der Rückseite des Fotos steht Winter 1935-36.","Group photo of 3 children, 2 boys and a girl, unidentified. On the back of the photo is written Winter 1935-36.",Unspecified,תצלום|Photograph,photography,original,,1935-36,,,
IL-MTFN-001-G-F-0047-013-R0003,IL-MTFN-001-G-F-0047-013,"Photograph of a Letter from Anja Enja, 1938",תצלום של מכתב מאת אניה Enja משנת 1938.,Foto eines Briefes von Anja Enja aus dem Jahr 1938.,Photograph of a letter from Anja Enja from the year 1938.,Unspecified,תצלום|Photograph,photography,copy,Anja Enja,1938,,,
IL-MTFN-001-G-F-0047-014-R0001,IL-MTFN-001-G-F-0047-014,Photographs of German Postcards by Dr. Chajes to Dr. Alfred Landsberg,"תצלומי גלויות כתובות גרמנית מאת ד""ר חיות Chajes אל ד""ר אלפרד לנדסברג משנת 1915 ו-1925",Fotografien von Postkarten in deutscher Sprache von Dr. Chajes an Dr. Alfred Landsberg aus den Jahren 1915 und 1925,Photographs of postcards written in German by Dr. Chajes to Dr. Alfred Landsberg from the years 1915 and 1925,German|גרמנית,גלויה|Postcard|תצלום|Photograph,photography,original,,1915,1925,,
IL-MTFN-001-G-F-0047-020-R0004,IL-MTFN-001-G-F-0047-020,Drawings by Uri Pelz,"מספר ציורים של הילד אורי, בנם של חוה לבית לנדסברג ואהרון פלץ.","Mehrere Zeichnungen des Kindes Uri, Sohn von Chava geb. Landsberg und Aharon Pelz.","Several drawings by the child Uri, son of Chava née Landsberg and Aharon Pelz.",Unspecified,ציור|Painting,drawing,original,Uri,,,,
IL-MTFN-001-G-F-0047-029-R0012,IL-MTFN-001-G-F-0047-029,Chava's 1937 European Travel Album,ב-1937 מטיילת חוה עם הוריה ואחותה לאה באירופה. אלבום עשוי מגליונות נייר עליהם היא הדביקה תמונות של הערים בהן בקרה; מלבד שם האין לא נכתב כל טקסט.,"1937 reist Chava mit ihren Eltern und ihrer Schwester Lea durch Europa. Ein Album aus Papierbögen, auf die sie Bilder der Städte klebte, die sie besuchte; außer dem Namen wurde kein Text geschrieben.","In 1937, Chava travels with her parents and her sister Leah in Europe. An album made of sheets of paper on which she pasted pictures of the cities she visited; apart from the name, no text was written.",Unspecified,אלמנט גרפי|Graphic Element,other,original,,1937,,,
