dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0022-008-R0019,IL-MTFN-001-G-F-0022-008,"Death Registration of Josef Weil, 1907","צילום, מסמך עם רישום מותו של יוסף וייל, 1907.","Fotografie, Dokument mit der Registrierung des Todes von Josef Weil, 1907.","Photograph, document with the registration of the death of Josef Weil, 1907.",Hebrew,תעודה|Certificate,photography,copy,יוסף וייל,1907,,,
IL-MTFN-001-G-F-0038-001-R0001,IL-MTFN-001-G-F-0038-001,17th Century Jewish Protection Letters,2 מכתבים חסות ליהודים מהמאה ה-17;,2 Schutzbriefe für Juden aus dem 17. Jahrhundert,2 letters of protection for Jews from the 17th century,Hebrew,מכתב|Letter,,original,,,,,
IL-MTFN-001-G-F-0047-018-R0001,IL-MTFN-001-G-F-0047-018,Will of Fritz Berger and Marietta née Bernstein,"צוואתם של פריץ ברגר ורעיתו מרייטה לבית ברנשטיין Bernstein,; טיוטות שונות ששימשו לעריכת הצוואה, גרמנית.","Das Testament von Fritz Berger und seiner Frau Marietta geborene Bernstein; verschiedene Entwürfe, die zur Erstellung des Testaments verwendet wurden, Deutsch.","The will of Fritz Berger and his wife Marietta née Bernstein; various drafts used for drafting the will, German.",German,צוואה|Will,,draft,Fritz Berger,,,,
IL-MTFN-001-G-F-0047-018-R0002,IL-MTFN-001-G-F-0047-018,Two Different Wills,"שתי צוואות שונות במספר עותקים, גרמנית.","Zwei verschiedene Testamente in mehreren Exemplaren, Deutsch.","Two different wills in several copies, German.",German,צוואה|Will,,copy,,,,,
IL-MTFN-001-G-F-0047-018-R0003,IL-MTFN-001-G-F-0047-018,Documents for Will Changes,"מספר מסמכים לשינוים בצוואה, גרמנית.","Mehrere Dokumente zur Änderung des Testaments, Deutsch.","Several documents for changes to the will, German.",German,Will,,other,,,,,
IL-MTFN-001-G-F-0047-018-R0004,IL-MTFN-001-G-F-0047-018,Photograph of Power of Attorney Document,"צילום של מסמך ""ייפוי כוח"", שנותן פריץ לרעיתו מרייטה.","Fotografie eines Dokuments ""Vollmacht"", das Fritz seiner Frau Marietta gibt.","Photograph of a ""Power of Attorney"" document, given by Fritz to his wife Marietta.",Hebrew|עברית,ייפוי כוח|Power of Attorney,photography,copy,Fritz,,,,
IL-MTFN-001-G-F-0047-024-R0003,IL-MTFN-001-G-F-0047-024,Marriage Certificate of Alfred Landsberg and Leoni Frank,"תצלום, תעודת נישואין של אלפרד לנדסברג ולאוני לבית פרנק. ויזבדן, 1921. תצלום התעודה הונפק ב-1954. (2 עותקים).","Foto, Heiratsurkunde von Alfred Landsberg und Leoni geb. Frank. Wiesbaden, 1921. Das Foto der Urkunde wurde 1954 ausgestellt. (2 Kopien).","Photograph, marriage certificate of Alfred Landsberg and Leoni née Frank. Wiesbaden, 1921. The photograph of the certificate was issued in 1954. (2 copies).",German,תעודה|Certificate,photography,copy,Alfred Landsberg,1921,1954,,
IL-MTFN-001-G-F-0047-024-R0005,IL-MTFN-001-G-F-0047-024,Property Division Agreement between Alfred and Leoni Landsberg,"תצלום, הסכם חלוקת רכוש בין אלפרד ולאוני לנדסברג לאור גירושיהם 1945, תוספת מ-1946.","Foto, Vermögensaufteilung zwischen Alfred und Leoni Landsberg im Zuge ihrer Scheidung 1945, Zusatz von 1946.","Photograph, property division agreement between Alfred and Leoni Landsberg due to their divorce 1945, addition from 1946.",Hebrew|German,תצלום|Photograph|הסכם|Agreement,photography,original,Alfred Landsberg|Leoni Landsberg,1945,,,
IL-MTFN-001-G-F-0047-024-R0009,IL-MTFN-001-G-F-0047-024,Inheritance Documents and Correspondence for Leoni and Peter Frank,"מסמכים והתכתבות בנושא ירושה ללאוני ואחיה פטר פרנק מצד משפחת האם, משפחת הומבורגר Homburger, לונדון. גרמנית, מהשנים: 1949-1951.","Dokumente und Korrespondenz zum Thema Erbschaft für Leoni und ihren Bruder Peter Frank von der Seite der Mutterfamilie, der Familie Homburger, London. Deutsch, aus den Jahren: 1949-1951.","Documents and correspondence on the subject of inheritance for Leoni and her brother Peter Frank from the mother's side of the family, the Homburger family, London. German, from the years: 1949-1951.",German,Letter,,original,,1949,1951,,
IL-MTFN-001-G-F-0047-024-R0010,IL-MTFN-001-G-F-0047-024,Documents on Leoni Frank's Name Change,"מקור וצילומי מסמכים בנושא שינוי שם המשפחה של לאוני מלנדסברג חזרה לשם נעוריה פרנק (נעשה אחרי גירושיה מאלפרד). ירושלים, עברית ואנגלית, 1946.","Original und Kopien von Dokumenten über die Namensänderung von Leoni von Melandsberg zurück zu ihrem Mädchennamen Frank (nach ihrer Scheidung von Alfred). Jerusalem, Hebräisch und Englisch, 1946.","Original and copies of documents regarding the change of Leoni's family name from Melandsberg back to her maiden name Frank (done after her divorce from Alfred). Jerusalem, Hebrew and English, 1946.",Hebrew|English,Letter,,copy,Leoni Frank,1946,,,
IL-MTFN-001-G-F-0047-024-R0011,IL-MTFN-001-G-F-0047-024,Divorce Document of Alfred and Leoni Landsberg,"מסמך גירושין של אלפרד ולאוני לנדסברג, שתורגם מעברית לגרמנית ונושא את חותמת הקהילה היהודית בויזבדן. 1946.","Scheidungsdokument von Alfred und Leoni Landsberg, das aus dem Hebräischen ins Deutsche übersetzt wurde und den Stempel der jüdischen Gemeinde in Wiesbaden trägt. 1946.","Divorce document of Alfred and Leoni Landsberg, translated from Hebrew to German and bearing the stamp of the Jewish community in Wiesbaden. 1946.",Hebrew|German,מסמך מתורגם|Translated Document,typewriting,original,Alfred Landsberg|Leoni Landsberg,1946,,,
IL-MTFN-001-G-F-0047-024-R0013,IL-MTFN-001-G-F-0047-024,Widowhood Confirmation for Leoni Frank,"מסמך לאישור אלמנות ללאוני פרנק;לנדסברג, שהונפק בבית הדין הרבני האזורי, תל אביב-יפו. על פי המסמך הזוג לנדסברג חזר והתאחד אחרי הגירושים ולכן יש להכיר בלאוני כאלמנתו של הנפטר, אלפרד לנדסברג. עברית, אין תאריך.","Dokument zur Bestätigung der Witwenschaft von Leoni Frank; Landsberg, ausgestellt vom regionalen Rabbinatsgericht, Tel Aviv-Jaffa. Laut dem Dokument hat sich das Paar Landsberg nach der Scheidung wieder vereint, daher soll Leoni als Witwe des Verstorbenen, Alfred Landsberg, anerkannt werden. Hebräisch, kein Datum.","Document for the confirmation of widowhood for Leoni Frank; Landsberg, issued by the regional Rabbinical Court, Tel Aviv-Jaffa. According to the document, the Landsberg couple reunited after the divorce, therefore Leoni should be recognized as the widow of the deceased, Alfred Landsberg. Hebrew, no date.",Hebrew,תעודה מנהלית|Administrative Certificate,,original,Leoni Frank,,,,
IL-MTFN-001-G-F-0047-024-R0015,IL-MTFN-001-G-F-0047-024,"The Palestine Gazette Name Change List, 1946","כתב עת, שמפרסם השלטון המנדטורי בפלשתינה The Pelestine Gzette לציבור בין היתר: רשימות שמיות של אנשים ששינו את שמם תוך ציון השם הישן, החדש, האזרחות, הישוב. ברשימה זאת מופיעה גם לאוני פרנק;לנדסברג. אנגלית, 1946.","Eine Zeitschrift, die von der Mandatsregierung in Palästina veröffentlicht wird, The Palestine Gazette, enthält unter anderem Namenslisten von Personen, die ihren Namen geändert haben, einschließlich des alten Namens, des neuen Namens, der Staatsangehörigkeit und des Wohnortes. In dieser Liste erscheint auch Leoni Frank; Landsberg. Englisch, 1946.","A journal published by the Mandatory government in Palestine, The Palestine Gazette, includes among other things, name lists of people who have changed their names, noting the old name, the new name, the citizenship, and the settlement. In this list also appears Leoni Frank; Landsberg. English, 1946.",English,כתב עת|Serial,print,original,Leoni Frank; Landsberg,,1946,,
IL-MTFN-001-G-F-0047-026-R0001,IL-MTFN-001-G-F-0047-026,"Contract for Sale of Wine Business, December 1938","חוזה מכירת בית המסחר ליינות, הסכם בין המוכר אוטו פרנק (בשם המשפחה) לבין הקונה הגרמני/ארי. ויזבדן, גרמנית, דצמבר 1938.","Vertrag über den Verkauf des Weingeschäfts, Vereinbarung zwischen dem Verkäufer Otto Frank (im Namen der Familie) und dem deutschen/arischen Käufer. Wiesbaden, Deutsch, Dezember 1938.","Contract for the sale of the wine business, agreement between the seller Otto Frank (on behalf of the family) and the German/Aryan buyer. Wiesbaden, German, December 1938.",German|גרמנית,הסכם|Agreement,typewriting,original,Otto Frank,1938-12,,,
IL-MTFN-001-G-F-0047-027-R0004,IL-MTFN-001-G-F-0047-027,Copy of Agreement between Leoni and Zionist Archive,"העתק מהסכם, שנחתם בין לאוני לארכיון הציוני. גרמנית, ההסכם נחתם ב-13.4.1959 (מתוך מכתבו של ד""ר קלימובסקי, עו""ד, 1.1.1973). על ההסכם עצמו לא מצוין תאריך.","Kopie eines Vertrags, der zwischen Leoni und dem Zionistischen Archiv unterzeichnet wurde. Deutsch, der Vertrag wurde am 13.4.1959 unterzeichnet (aus dem Brief von Dr. Klimowski, Rechtsanwalt, 1.1.1973). Auf dem Vertrag selbst ist kein Datum angegeben.","Copy of an agreement signed between Leoni and the Zionist Archive. German, the agreement was signed on 13.4.1959 (from the letter of Dr. Klimowski, lawyer, 1.1.1973). The agreement itself does not specify a date.",German,הסכם|Agreement,,copy,,1959-04-13,,,
IL-MTFN-001-G-F-0053-001-R0001,IL-MTFN-001-G-F-0053-001,Investigation Order for Jews in Bodenfelde,"הוראה לעירית Bodenfelde, Wannbeck, Lauenförde, לחקור את יהודי המקום.","Anweisung an die Stadt Bodenfelde, Wannbeck, Lauenförde, die Juden des Ortes zu untersuchen.","Instruction to the municipality of Bodenfelde, Wannbeck, Lauenförde, to investigate the Jews of the place.",German,הוראה|Instruction,,other,,,,,
IL-MTFN-001-G-F-0053-001-R0002,IL-MTFN-001-G-F-0053-001,Will of Abraham Freudental to Meyer,"צוואה של Abraham Freudental לבנו Meyer, האב עדיין בחיים; 1838.","Testament von Abraham Freudental an seinen Sohn Meyer, der Vater lebt noch; 1838.","Will of Abraham Freudental to his son Meyer, the father is still alive; 1838.",Unspecified,צוואה|Will,,original,Abraham Freudental,1838,,,
IL-MTFN-001-G-F-0053-001-R0003,IL-MTFN-001-G-F-0053-001,Marriage Contract between A Freudental and Fanny Eckstein,חוזה נישואין בין A Freudental ו; Fanny Eckstein.,Ehevertrag zwischen A Freudental und Fanny Eckstein.,Marriage contract between A Freudental and Fanny Eckstein.,Unspecified,הסכם|Agreement,,original,,,,,
IL-MTFN-001-G-F-0053-001-R0004,IL-MTFN-001-G-F-0053-001,Inheritance Certificates for Land Registry,אישורי ירושה שנשלחים ל משרד הקרקעות.,"Erbschaftsbestätigungen, die an das Grundbuchamt gesendet werden.",Inheritance certificates sent to the Land Registry Office.,Hebrew,תעודה|Certificate,,original,,,,,
IL-MTFN-001-G-F-0053-001-R0006,IL-MTFN-001-G-F-0053-001,Clarification for Exemption from Protection Fees,ברור לשחרור מדמי חסות.,Klarstellung zur Befreiung von Schutzgebühren.,Clarification for exemption from protection fees.,Unspecified,לא מזוהה,,other,,,,,
IL-MTFN-001-G-F-0053-002-R0003,IL-MTFN-001-G-F-0053-002,Conditions for Land Purchase in Nienover,התנאים לקנית קרקע ב- Nienover;,Die Bedingungen für den Kauf von Land in Nienover;,The conditions for purchasing land in Nienover;,Hebrew,Agreement,,original,,,,,
IL-MTFN-001-G-F-0053-002-R0005,IL-MTFN-001-G-F-0053-002,Will of Abraham Freudental,צוואה של Abraham Freudental1866 Bodenfelde;,Testament von Abraham Freudental 1866 Bodenfelde,Will of Abraham Freudental 1866 Bodenfelde,Unspecified,צוואה|Will,,original,Abraham Freudental,1866,,,
IL-MTFN-001-G-F-0053-002-R0009,IL-MTFN-001-G-F-0053-002,Approval for House Purchase by Jew in Freudental,אישור ליהודי Freudental לרכוש בית מנוצרי;,"Genehmigung für einen Juden in Freudental, ein Haus von einem Christen zu kaufen;",Approval for a Jew in Freudental to purchase a house from a Christian;,Hebrew|German,תעודה|Certificate,,original,,,,,
IL-MTFN-001-G-F-0053-003-R0001,IL-MTFN-001-G-F-0053-003,"Marriage Instructions for Protected Jews, 1825 Hildesheim","1825 Hildesheim, הוראות נישואין ליהודי החסות","1825 Hildesheim, Heiratsanweisungen für Schutzjuden","1825 Hildesheim, Marriage Instructions for Protected Jews",Hebrew|German,Agreement,,original,,1825,,,
IL-MTFN-001-G-F-0053-003-R0008,IL-MTFN-001-G-F-0053-003,Passports of Albert Freudental and his wife,"1939, דרכונים של Albert Freudental ואישתו","1939, Pässe von Albert Freudental und seiner Frau","1939, Passports of Albert Freudental and his wife",Other,תעודה|Certificate,print,original,Albert Freudental,1939,,,
IL-MTFN-001-G-F-0053-004-R0001,IL-MTFN-001-G-F-0053-004,"Land Sale Contract, 1827","1827, Nienhofen, חוזה מכירת קרקע בין המוכר Johann Friedrich Schammhand לבין הקונה Abraham Meyer Freudenthal;","1827, Nienhofen, Kaufvertrag über Land zwischen dem Verkäufer Johann Friedrich Schammhand und dem Käufer Abraham Meyer Freudenthal;","1827, Nienhofen, Land sale contract between the seller Johann Friedrich Schammhand and the buyer Abraham Meyer Freudenthal;",Other,הסכם|Agreement,,original,,1827,,,
IL-MTFN-001-G-F-0053-004-R0002,IL-MTFN-001-G-F-0053-004,Request for Permission and Protection Letter by Salmen Simon Kahlberg,"1814, Nienover, היהודי Salmen Simon Kahlberg, שעד עתה חי ועבד אצל אביו יהודי החסות Schutzjude Simon Salmen מבקש אישור להקים בית ופרנסה בעיר הולדתו Bodenfeld לעצמו וכמו כך מכתב חסות לעצמו.","1814, Nienover, der Jude Salmen Simon Kahlberg, der bisher bei seinem Vater, dem Schutzjuden Simon Salmen, gelebt und gearbeitet hat, beantragt die Erlaubnis, ein Haus und einen Lebensunterhalt in seiner Geburtsstadt Bodenfeld für sich selbst zu errichten und ebenso einen Schutzbrief für sich selbst.","1814, Nienover, the Jew Salmen Simon Kahlberg, who until now has lived and worked with his father, the Schutzjude Simon Salmen, requests permission to establish a house and livelihood in his hometown Bodenfeld for himself, as well as a protection letter for himself.",German|Hebrew,Letter,,original,Salmen Simon Kahlberg,1814,,,
IL-MTFN-001-G-F-0053-004-R0003,IL-MTFN-001-G-F-0053-004,Inheritance Agreement of Abraham Freudenthal,"1827, Nienover, הסכם ירושה Abraham Freudenthal היה נשוי לבת של Moses Herzstein aus Bodenfelde. אישתו נפטרה בלידת הבן. לאישתו קראו אסתר, לבן קראו Meyer Abraham Freudenthal. האב אברהם מתחייב לשלם לבן עם הגעו לגיל 25 שנה את סכום הנדוניה של אישתו אסתר שנפטרה, סכום של 300 טאלר. אביו של אברהם ערב להסכם הירושה.","1827, Nienover, Erbvertrag Abraham Freudenthal war mit der Tochter von Moses Herzstein aus Bodenfelde verheiratet. Seine Frau starb bei der Geburt des Sohnes. Seine Frau hieß Esther, der Sohn hieß Meyer Abraham Freudenthal. Der Vater Abraham verpflichtet sich, dem Sohn bei Erreichen des 25. Lebensjahres die Mitgift seiner verstorbenen Frau Esther in Höhe von 300 Talern zu zahlen. Der Vater von Abraham bürgt für den Erbvertrag.","1827, Nienover, Inheritance agreement Abraham Freudenthal was married to the daughter of Moses Herzstein from Bodenfelde. His wife died in childbirth. His wife's name was Esther, the son's name was Meyer Abraham Freudenthal. The father Abraham commits to paying the son the dowry of his deceased wife Esther, amounting to 300 talers, upon reaching the age of 25. Abraham's father guarantees the inheritance agreement.",Hebrew|German,הסכם|Agreement,,original,Abraham Freudenthal,1827,,,
IL-MTFN-001-G-F-0053-004-R0004,IL-MTFN-001-G-F-0053-004,"House Sale Contract, Uslar, 1856","1856, Uslar, חוזה מכירת בית Ernst Georg Harriehausen מוכר בית מגורים לסוחר Meyer Freudenthal בסכום של 2700 טאלר;","1856, Uslar, Hausverkaufsvertrag Ernst Georg Harriehausen verkauft ein Wohnhaus an den Kaufmann Meyer Freudenthal für 2700 Taler;","1856, Uslar, House sale contract Ernst Georg Harriehausen sells a residential house to the merchant Meyer Freudenthal for 2700 Thaler;",German,הסכם|Agreement,,original,,1856,,,
IL-MTFN-001-G-F-0054-001-R0001,IL-MTFN-001-G-F-0054-001,1934 Passport of Heinz Isaacson,"1934 דרכון של הינץ איזקסון Heinz Isaacson, אחיו של יהודה איזקסון;","1934 Pass von Heinz Isaacson, Bruder von Yehuda Isaacson;","1934 Passport of Heinz Isaacson, brother of Yehuda Isaacson;",German,תעודה|Certificate,other,original,Heinz Isaacson,1934,,,
IL-MTFN-001-G-F-0055-001-R0001,IL-MTFN-001-G-F-0055-001,Passports of Teresa Klein,"דרכונים של טרזה קליין עם J שנוסף ב 20.10.1938, הדרכון הוצא ב-1934;","Pässe von Teresa Klein mit einem J, das am 20.10.1938 hinzugefügt wurde, der Pass wurde 1934 ausgestellt.","Passports of Teresa Klein with a J added on 20.10.1938, the passport was issued in 1934.",Hebrew|German,תעודה|Certificate,other,original,Teresa Klein,1934,,,
IL-MTFN-001-G-F-0062-001-R0003,IL-MTFN-001-G-F-0062-001,Allegiance to Hamburg,שביעת אמונים לעיר המבורג,Treue zur Stadt Hamburg,Allegiance to the city of Hamburg,Hebrew|German,תעודה|Certificate,,original,,,,,
IL-MTFN-001-G-F-0062-001-R0005,IL-MTFN-001-G-F-0062-001,"Ketubah of Yehuda Friedlander, 1828",כתובה יהודה פרידלנדר 1828,Ketubah Jehuda Friedlander 1828,Ketubah Yehuda Friedlander 1828,Hebrew,כתובה|Ketubah,,original,Yehuda Friedlander,1828,,,
IL-MTFN-001-G-F-0093-003-R0003,IL-MTFN-001-G-F-0093-003,Photographs of Donation Agreements,צילומים של 2 הסכמי תרומה;,Fotos von 2 Spendenvereinbarungen;,Photographs of 2 donation agreements;,Unspecified,הסכם|Agreement,photography,copy,,,,,
IL-MTFN-001-G-F-0093-006-R0002,IL-MTFN-001-G-F-0093-006,"Procedure for Practicing Medicine, 1933",נוהל עיסוק ברפואה מ-1933 באנגלית;,Verfahren zur Ausübung der Medizin von 1933 auf Englisch;,Procedure for practicing medicine from 1933 in English;,English,מסמך מתורגם|Translated Document,,original,,1933,,,
IL-MTFN-001-G-F-0093-008-R0001,IL-MTFN-001-G-F-0093-008,Ketubah of Ellen Catzenstein-Colmar,הכתובה אלן לבית כצנשטיין-קולמר Catzenstein;Colmar מנשואה להנס ברנקופף;,Die Ketubah von Ellen geborene Catzenstein-Colmar verheiratet mit Hans Brankopf;,The Ketubah of Ellen née Catzenstein-Colmar married to Hans Brankopf;,Hebrew,כתובה|Ketubah,,original,Ellen Catzenstein-Colmar,,,,
IL-MTFN-001-G-F-0093-008-R0003,IL-MTFN-001-G-F-0093-008,Will of Paula Brankopf,צוואתה של פאולה ברנקופף;,Das Testament von Paula Brankopf;,The will of Paula Brankopf;,Hebrew,צוואה|Will,,original,Paula Brankopf,,,,
IL-MTFN-001-G-F-0093-008-R0004,IL-MTFN-001-G-F-0093-008,Will of Prof. Hans Brankopf,צוואתו של פרופ. הנס ברנקופף,Das Testament von Prof. Hans Brankopf,The will of Prof. Hans Brankopf,Hebrew,צוואה|Will,,original,Hans Brankopf,,,,
IL-MTFN-001-G-F-0113-039-R0022,IL-MTFN-001-G-F-0113-039,Naming Document,2 עמודים Namensgebung,2 Seiten Namensgebung,2 pages Naming,Unspecified,לא מזוהה,,original,,,,,2
IL-MTFN-001-G-F-0121-001-R0005,IL-MTFN-001-G-F-0121-001,טופס הצהרה של אריך רייס מ-1915,טופס הצהרה של אריך רייס מ-1915 שנעשה ב- Wolfenbüttel שהוא מתנדב לשרת שנה אחד בצבא.,"Erklärung von Erich Reis aus dem Jahr 1915, dass er sich freiwillig meldet, ein Jahr in der Armee zu dienen, erstellt in Wolfenbüttel.","Declaration form of Erich Reis from 1915 stating that he volunteers to serve one year in the army, made in Wolfenbüttel.",German,טופס|Form,typewriting,original,אריך רייס,1915,,,
IL-MTFN-001-G-F-0124-001-R0001,IL-MTFN-001-G-F-0124-001,Marriage Contract Request for Bernhard Blumenthal and Klara Prochownik,"מסמך ממשרד המשפטים המלכותי בברומברג Bromberg; הסוחר ברנהרד בלומנטל Bernhard Blumenthal מהעיר אכן Aachen והגברת קלרה פרוחובניק שמלווה ע""י אביה החורג לודויג ליברמן Ludwig Liebermann רוצים להנשא ומבקשים לעשות חוזה להעביר רכוש הכלה לרכוש משותף","Dokument vom königlichen Justizministerium in Bromberg; der Kaufmann Bernhard Blumenthal aus der Stadt Aachen und Frau Klara Prochownik, begleitet von ihrem Stiefvater Ludwig Liebermann, möchten heiraten und bitten um einen Vertrag, um das Vermögen der Braut in gemeinsames Eigentum zu überführen.","Document from the Royal Ministry of Justice in Bromberg; the merchant Bernhard Blumenthal from the city of Aachen and Mrs. Klara Prochownik, accompanied by her stepfather Ludwig Liebermann, want to marry and request to make a contract to transfer the bride's property to joint property.",German|Hebrew,Agreement,,original,Bernhard Blumenthal,,,,
IL-MTFN-001-G-F-0139-001-R0005,IL-MTFN-001-G-F-0139-001,"Residence Permit for Merchant Eigenfeld in Speyer, 1924",אישור שהייה לסוחר אייגנפלד בעיר שפאייר מ-1924.,Aufenthaltsgenehmigung für den Händler Eigenfeld in der Stadt Speyer aus dem Jahr 1924.,Residence permit for the merchant Eigenfeld in the city of Speyer from 1924.,German,תעודה|Certificate,,original,Eigenfeld,1924,,,
